,N25,N25anti,N25-A1,N25-A1anti,DG115a,DG121,DG122,DG124a,DG125a,DG126,DG127,DG128a,DG130a,DG131a,DG132a,DG133,DG135a,DG137a,DG138a,DG141,DG142,DG145,DG146a,DG147a,N25,N25anti,DG148,DG149a,DG151a,DG152a,DG154a,DG155,DG156-3,DG159,DG160a,DG161a,DG162,DG163a,DG164,DG165b,DG166,DG167,DG168a,DG169a,DG170a
"13 mer",,792312.73,1185660.64,1262821.31,3565499.41,483789.6,1108904.95,2975721.97,4826635.6,468331.91,3359958.76,5734232.22,503420.47,991247.86,579997.42,2350383.48,1464234.13,8712608.28,5859908.93,2117594.25,7565837.23,432531.21,912008.49,,,857604.98,,8516963.85,3844075.53,302612.36,3195022.37,834198.48,11558845.81,,2414974.11,613345.05,2103106.03,368644.56,572049.71,2172137.86,6479333.2,,8302530.31,3689015.64,1201612.24
"14 mer",,4028761.47,2003941.91,715810.31,1265073.06,1166811.55,410953.1,1701444.53,3226773.34,4544838.98,952151.22,1140378.06,646915.42,914569.33,1464126.94,645547.04,888799.58,4421755.28,1177938.16,1459558.78,2941349.12,709219.41,497839.2,,,5221776.85,,1712148.75,3246841.28,412623.31,996119.25,2143367.4,4577203.31,,,1986483.74,,435333.5,931532.58,579084.92,,,2270198.42,2879828.35,892045.53
"15 mer",,3026585.92,1221227.65,496126.96,,,1247968.93,,2657089.51,,,1813715.54,824365.81,665410.89,,1262760.29,525437.21,1328720.73,,,,843959.12,610784.41,,,3691238.99,,,,1062954.43,,775367.81,933973.29,,,,,837306.05,2371904.74,1069476.58,,,400398.66,,1178069.5
"16 mer",,,557690.05,525796.55,,,619836.65,,,,,,,,,906803.43,614286.98,,,,,,,,,,,,,,,,,,,,,649892.69,,,,,1066424.76,,
"17 mer",,,676966.31,,,,517981.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766464.03,,,,,,,
"18 mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19 mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20 mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,1413824,324314,1668672,655168,1118870,1752431,1990503,384361,1628694,1643406,768136,1437175,1684643,2749577,996396,1451434,919319,777958,1023210,657050,1144303,679521,2199700,478902,1881722,506723,861037,1485132,1865430,831348,693523,957795,1730974,1742614,1070387,3095051,1714027,1265734,1598710,2670392,741517,653642,2216533,1773143,1100719
FL2,2008026,0,1646319,403455,1183029,1564429,2473088,16857,1311921,1257027,690156,1780001,2037379,2954274,1218761,1719509,1585472,378773,1330825,410389,1512872,804094,2789635,391405,3062146,590473,1058370,2019669,2288889,755009,772347,1571564,1744197,1980166,1849355,3675756,1996505,1618588,2216027,1809951,810257,1005635,2162297,1626102,906516
